"analysis_id","gene","distance","Z","FC","p.value","p.adj","target_gene","perturbation","significant","direction","minus_log10_fdr"
"MYH11_OE","TMIGD3",2.82638745090712e-17,-1.63443668207082,1.02929551065594e-17,0.999999997440176,0.999999999846669,"MYH11","OE",FALSE,"Activated",6.65908135295959e-11
"MYH11_OE","AC243829.4",2.82368036923233e-17,-1.6345125965983,1.02732475988071e-17,0.999999997442628,0.999999999846669,"MYH11","OE",FALSE,"Activated",6.65908135295959e-11
"MYH11_OE","SOX17",2.81247481965062e-17,-1.63482755165251,1.019187226361e-17,0.999999997452777,0.999999999846669,"MYH11","OE",FALSE,"Activated",6.65908135295959e-11
"MYH11_OE","BPIFB2",2.80562904259945e-17,-1.63502053855411,1.01423170672659e-17,0.999999997458977,0.999999999846669,"MYH11","OE",FALSE,"Activated",6.65908135295959e-11
"MYH11_OE","MROH2A",2.78876077785863e-17,-1.63549793307973,1.00207265181752e-17,0.999999997474254,0.999999999846669,"MYH11","OE",FALSE,"Activated",6.65908135295959e-11
"MYH11_OE","TNFRSF4",2.76839753082957e-17,-1.63607781525594,9.87492015254945e-18,0.999999997492697,0.999999999846669,"MYH11","OE",FALSE,"Activated",6.65908135295959e-11
"MYH11_OE","KPNA7",2.76358381987699e-17,-1.63621547187111,9.8406088344361e-18,0.999999997497056,0.999999999846669,"MYH11","OE",FALSE,"Activated",6.65908135295959e-11
"MYH11_OE","IL21",2.74901635458061e-17,-1.63663341114296,9.73713818549209e-18,0.99999999751025,0.999999999846669,"MYH11","OE",FALSE,"Activated",6.65908135295959e-11
"MYH11_OE","ASB5",2.74292539662989e-17,-1.63680876843786,9.69403709980085e-18,0.999999997515767,0.999999999846669,"MYH11","OE",FALSE,"Activated",6.65908135295959e-11
"MYH11_OE","FCN1",2.73835018029215e-17,-1.63694072516853,9.66172464463588e-18,0.99999999751991,0.999999999846669,"MYH11","OE",FALSE,"Activated",6.65908135295959e-11
"MYH11_OE","CFHR1",2.73703351951127e-17,-1.63697873764898,9.65243572630623e-18,0.999999997521103,0.999999999846669,"MYH11","OE",FALSE,"Activated",6.65908135295959e-11
"MYH11_OE","RAPSN",2.73036591390235e-17,-1.63717149422733,9.60546498732442e-18,0.999999997527142,0.999999999846669,"MYH11","OE",FALSE,"Activated",6.65908135295959e-11
"MYH11_OE","S100P",2.68528322395706e-17,-1.63848636240844,9.29088069961998e-18,0.999999997567972,0.999999999846669,"MYH11","OE",FALSE,"Activated",6.65908135295959e-11
"MYH11_OE","EDN2",2.6847203125435e-17,-1.63850290894722,9.286985844456e-18,0.999999997568482,0.999999999846669,"MYH11","OE",FALSE,"Activated",6.65908135295959e-11
"MYH11_OE","GPR143",2.68326040775607e-17,-1.638545837194,9.2768883838775e-18,0.999999997569804,0.999999999846669,"MYH11","OE",FALSE,"Activated",6.65908135295959e-11
"MYH11_OE","FLG",2.66599845449109e-17,-1.63905506818673,9.1579121444995e-18,0.999999997585438,0.999999999846669,"MYH11","OE",FALSE,"Activated",6.65908135295959e-11
"MYH11_OE","TCF15",2.66069981374548e-17,-1.63921199158462,9.12154583271317e-18,0.999999997590237,0.999999999846669,"MYH11","OE",FALSE,"Activated",6.65908135295959e-11
"MYH11_OE","KIR3DL2",2.66029630933911e-17,-1.63922395353735,9.11877941402088e-18,0.999999997590603,0.999999999846669,"MYH11","OE",FALSE,"Activated",6.65908135295959e-11
"MYH11_OE","BANCR",2.63785597076887e-17,-1.63989185995735,8.96558937457642e-18,0.999999997610927,0.999999999846669,"MYH11","OE",FALSE,"Activated",6.65908135295959e-11
"MYH11_OE","IGFL3",2.6308263047148e-17,-1.64010217087069,8.91786795106939e-18,0.999999997617293,0.999999999846669,"MYH11","OE",FALSE,"Activated",6.65908135295959e-11
"MYH11_OE","ATP10B",2.63035502565859e-17,-1.64011628902528,8.91467319211138e-18,0.99999999761772,0.999999999846669,"MYH11","OE",FALSE,"Activated",6.65908135295959e-11
"MYH11_OE","MRLN",2.60379581901775e-17,-1.64091573577818,8.73555569224061e-18,0.999999997641774,0.999999999846669,"MYH11","OE",FALSE,"Activated",6.65908135295959e-11
"MYH11_OE","HSD17B2",2.58541751086543e-17,-1.64147336508861,8.61267497421723e-18,0.99999999765842,0.999999999846669,"MYH11","OE",FALSE,"Activated",6.65908135295959e-11
"MYH11_OE","TNN",2.57377049010338e-17,-1.64182865873764,8.53525145823762e-18,0.999999997668968,0.999999999846669,"MYH11","OE",FALSE,"Activated",6.65908135295959e-11
"MYH11_OE","CADM2",2.55922080556192e-17,-1.64227459584509,8.43902360629594e-18,0.999999997682146,0.999999999846669,"MYH11","OE",FALSE,"Activated",6.65908135295959e-11
"MYH11_OE","GAPT",2.55433010841688e-17,-1.64242501936944,8.40680030435629e-18,0.999999997686575,0.999999999846669,"MYH11","OE",FALSE,"Activated",6.65908135295959e-11
"MYH11_OE","LRRTM1",2.52036598561102e-17,-1.64347707384402,8.18472149124778e-18,0.999999997717336,0.999999999846669,"MYH11","OE",FALSE,"Activated",6.65908135295959e-11
"MYH11_OE","SMTNL2",2.50397877973528e-17,-1.64398937831613,8.07863476962745e-18,0.999999997732178,0.999999999846669,"MYH11","OE",FALSE,"Activated",6.65908135295959e-11
"MYH11_OE","ATOH8",2.49341188393109e-17,-1.64432137439236,8.01059428279069e-18,0.999999997741748,0.999999999846669,"MYH11","OE",FALSE,"Activated",6.65908135295959e-11
"MYH11_OE","PURPL",2.48470133750882e-17,-1.64459602776675,7.95472322989302e-18,0.999999997749637,0.999999999846669,"MYH11","OE",FALSE,"Activated",6.65908135295959e-11
"MYH11_OE","AQP9",2.47370430491056e-17,-1.64494405273283,7.8844654775751e-18,0.999999997759597,0.999999999846669,"MYH11","OE",FALSE,"Activated",6.65908135295959e-11
"MYH11_OE","IGLC2",2.45379684287284e-17,-1.64557772753771,7.75807355601224e-18,0.999999997777627,0.999999999846669,"MYH11","OE",FALSE,"Activated",6.65908135295959e-11
"MYH11_OE","KIR2DL4",2.45032445535726e-17,-1.64568874446835,7.73613206805632e-18,0.999999997780772,0.999999999846669,"MYH11","OE",FALSE,"Activated",6.65908135295959e-11
"MYH11_OE","OPN4",2.44952158179221e-17,-1.64571443415695,7.73106325494557e-18,0.999999997781499,0.999999999846669,"MYH11","OE",FALSE,"Activated",6.65908135295959e-11
"MYH11_OE","S100A7",2.44775423799735e-17,-1.64577101165313,7.71991126702639e-18,0.9999999977831,0.999999999846669,"MYH11","OE",FALSE,"Activated",6.65908135295959e-11
"MYH11_OE","LINC02096",2.44523756822213e-17,-1.64585164243248,7.70404490322434e-18,0.999999997785379,0.999999999846669,"MYH11","OE",FALSE,"Activated",6.65908135295959e-11
"MYH11_OE","KBTBD12",2.44475404057521e-17,-1.64586714281963,7.70099836865043e-18,0.999999997785817,0.999999999846669,"MYH11","OE",FALSE,"Activated",6.65908135295959e-11
"MYH11_OE","FOXD3-AS1",2.43629914352939e-17,-1.64613864021087,7.64782446434962e-18,0.999999997793474,0.999999999846669,"MYH11","OE",FALSE,"Activated",6.65908135295959e-11
"MYH11_OE","TPSAB1",2.43247114425572e-17,-1.64626184910956,7.62381028125183e-18,0.999999997796941,0.999999999846669,"MYH11","OE",FALSE,"Activated",6.65908135295959e-11
"MYH11_OE","CPA3",2.42619711561799e-17,-1.64646417528906,7.58453308938341e-18,0.999999997802623,0.999999999846669,"MYH11","OE",FALSE,"Activated",6.65908135295959e-11
"MYH11_OE","PRG2",2.42494532588264e-17,-1.64650460122802,7.57670867038307e-18,0.999999997803757,0.999999999846669,"MYH11","OE",FALSE,"Activated",6.65908135295959e-11
"MYH11_OE","KRTDAP",2.42055836179844e-17,-1.64664642877439,7.5493194485482e-18,0.99999999780773,0.999999999846669,"MYH11","OE",FALSE,"Activated",6.65908135295959e-11
"MYH11_OE","LINC01647",2.40955538323142e-17,-1.64700319733277,7.48084251384945e-18,0.999999997817696,0.999999999846669,"MYH11","OE",FALSE,"Activated",6.65908135295959e-11
"MYH11_OE","AL133405.1",2.40283903383519e-17,-1.64722171526381,7.43919671651573e-18,0.999999997823779,0.999999999846669,"MYH11","OE",FALSE,"Activated",6.65908135295959e-11
"MYH11_OE","MUSK",2.39655221990384e-17,-1.64742677122217,7.40031965347314e-18,0.999999997829472,0.999999999846669,"MYH11","OE",FALSE,"Activated",6.65908135295959e-11
"MYH11_OE","CAPNS2",2.38741558436076e-17,-1.64772566900661,7.34400113315579e-18,0.999999997837747,0.999999999846669,"MYH11","OE",FALSE,"Activated",6.65908135295959e-11
