"spatial_sample_id","permutation_id","permuted_median_distance","observed_median_distance"
"All_spots",505,204.156802482798,222.389298303673
"All_spots",506,198.539668580362,222.389298303673
"All_spots",507,202.232539419353,222.389298303673
"All_spots",508,200.551738960299,222.389298303673
"All_spots",509,192.626581758593,222.389298303673
"All_spots",510,207.793166393893,222.389298303673
"All_spots",511,204.156802482798,222.389298303673
"All_spots",512,204.156802482798,222.389298303673
"All_spots",513,213.251025788858,222.389298303673
"All_spots",514,194.465935320302,222.389298303673
"All_spots",515,197.448727521856,222.389298303673
"All_spots",516,207.992788336519,222.389298303673
"All_spots",517,211.322029140362,222.389298303673
"All_spots",518,204.156802482798,222.389298303673
"All_spots",519,202.607995893548,222.389298303673
"All_spots",520,208.355465491069,222.389298303673
"All_spots",521,204.1984329029,222.389298303673
"All_spots",522,198.979898482234,222.389298303673
"All_spots",523,200.743617582228,222.389298303673
"All_spots",524,175.567650778838,222.389298303673
"All_spots",525,198.640378573945,222.389298303673
"All_spots",526,205.156038175824,222.389298303673
"All_spots",527,207.793166393893,222.389298303673
"All_spots",528,199.722307216795,222.389298303673
"All_spots",529,211.151604303638,222.389298303673
"All_spots",530,210.48752932181,222.389298303673
"All_spots",531,198.406149098258,222.389298303673
"All_spots",532,204.120062708201,222.389298303673
"All_spots",533,205.197465871292,222.389298303673
"All_spots",534,198.010100752462,222.389298303673
"All_spots",535,204.313484625954,222.389298303673
"All_spots",536,202.35859260234,222.389298303673
"All_spots",537,213.251025788858,222.389298303673
"All_spots",538,198.929635801205,222.389298303673
"All_spots",539,200.242353162362,222.389298303673
"All_spots",540,192.626581758593,222.389298303673
"All_spots",541,200.638979263751,222.389298303673
"All_spots",542,187.20042734994,222.389298303673
"All_spots",543,208.463426048792,222.389298303673
"All_spots",544,197.489240213233,222.389298303673
"All_spots",545,193.940712590214,222.389298303673
"All_spots",546,213.600093632938,222.389298303673
"All_spots",547,204.1984329029,222.389298303673
"All_spots",548,195.923454440759,222.389298303673
"All_spots",549,197.448727521856,222.389298303673
"All_spots",550,212.084888664893,222.389298303673
"All_spots",551,205.625873858326,222.389298303673
