"rank","gene"
1263,"ATP1A2"
1264,"AP003306.2"
1265,"NID2"
1266,"EDNRA"
1267,"SCNN1G"
1268,"C6orf132"
1269,"CDH3"
1270,"THBD"
1271,"MYOZ1"
1272,"TRPM1"
1273,"TBX3"
1274,"PLXDC1"
1275,"TMPRSS11B"
1276,"NID1"
1277,"KLRB1"
1278,"NPW"
1279,"AL139099.1"
1280,"CLSPN"
1281,"CD274"
1282,"TMEM176B"
1283,"RBP1"
1284,"FHL1"
1285,"HIST1H2BG"
1286,"SGCD"
1287,"KRT9"
1288,"GCNT2"
1289,"MPEG1"
1290,"SUCNR1"
1291,"HLA-DQA1"
1292,"CEP55"
1293,"SLCO4A1-AS1"
1294,"IFIT1"
1295,"CAPN6"
1296,"TNNC2"
1297,"CYGB"
1298,"ADAMTS18"
1299,"MGAT4C"
1300,"BATF3"
1301,"P3H2"
1302,"NUF2"
1303,"NGFR"
1304,"LDB3"
1305,"MSMO1"
1306,"PTGIS"
1307,"LMO2"
1308,"RETN"
1309,"SDC1"
1310,"PDK4"
1311,"BICC1"
1312,"LIMCH1"
1313,"C15orf62"
1314,"KRT17"
1315,"AUXG01000058.1"
1316,"LINC02544"
1317,"FBXO32"
1318,"UACA"
1319,"IGHV3-64D"
1320,"SGCA"
1321,"DIPK2B"
1322,"ADAMTS6"
1323,"LINC02552"
1324,"LAMP3"
1325,"AZIN1-AS1"
1326,"HBEGF"
1327,"NTM"
1328,"GGT5"
1329,"PRND"
1330,"LOXL1"
1331,"TIMP2"
1332,"VSIG4"
1333,"SOX9"
1334,"AC253572.2"
1335,"C12orf75"
1336,"LILRB4"
1337,"FAM30A"
1338,"EGFR"
1339,"MALL"
1340,"FOXD3"
1341,"KLHDC7B"
1342,"PTPRF"
1343,"C16orf74"
1344,"TF"
1345,"GLIS3"
1346,"NLRP4"
1347,"EDIL3"
1348,"TGFB3"
1349,"XCR1"
1350,"CRHBP"
1351,"SLC38A11"
1352,"CCL24"
1353,"CBLN1"
1354,"PIF1"
1355,"ACE"
1356,"HCAR3"
1357,"IGLV5-45"
1358,"ITGB8"
1359,"OASL"
1360,"RNF222"
1361,"TRBV28"
1362,"STAB2"
1363,"GCOM1"
1364,"CD209"
1365,"KCNAB1"
1366,"LINC01614"
1367,"FABP7"
1368,"SERPINA1"
1369,"GUCY1B1"
1370,"NEXN"
1371,"AC023157.3"
1372,"TNNT2"
1373,"BNIP3"
1374,"LINC01705"
1375,"AREG"
1376,"AADAC"
