"to_vertex","from_vertex","NA","from_UMAP_1","from_UMAP_2","to_UMAP_1","to_UMAP_2"
"Y_737","Y_288",1,-7.45669033512001,4.01280711522648,-7.51864837348868,4.22836908971853
"Y_679","Y_288",1,-7.45669033512001,4.01280711522648,-7.24451960855271,4.08458705618851
"Y_325","Y_288",1,-7.45669033512001,4.01280711522648,-7.59203021499116,3.77155566761153
"Y_325","Y_229",1,-7.82756682154012,3.68193274538945,-7.59203021499116,3.77155566761153
"Y_323","Y_283",1,7.0571831583517,-5.03839968751517,7.23389181665563,-5.1136500506775
"Y_687","Y_282",1,7.68882719093349,-3.6728371622605,7.8457283920638,-3.49796305345517
"Y_428","Y_282",1,7.68882719093349,-3.6728371622605,7.48106042346894,-3.74103811698769
"Y_762","Y_281",1,-6.95833498470782,0.352008371434704,-7.07571612903596,0.0996922435576434
"Y_762","Y_259",1,-6.78480132940246,0.0156318346049938,-7.07571612903596,0.0996922435576434
"Y_740","Y_280",1,-6.19135471070976,2.65107429384718,-6.38413565573188,2.70106519972045
"Y_366","Y_280",1,-6.19135471070976,2.65107429384718,-6.07543202835003,2.51962350409328
"Y_291","Y_279",1,4.95030909539653,-2.34704511942977,5.01304443099497,-2.24845738499178
"Y_583","Y_277",1,-4.59884432454877,9.54386742605884,-4.73239470776087,9.68393764408712
"Y_349","Y_277",1,-4.59884432454877,9.54386742605884,-4.45354573866866,9.36882325294088
"Y_748","Y_276",1,-6.30687962465993,-1.06932872606849,-6.48876283897166,-0.91437161435661
"Y_746","Y_35",1,-6.67525913694423,-1.47030964401176,-6.44143379908178,-1.31392665441524
"Y_746","Y_276",1,-6.30687962465993,-1.06932872606849,-6.44143379908178,-1.31392665441524
"Y_836","Y_273",1,0.489937349520046,-6.72756312430573,0.472898713100053,-6.56514875017274
"Y_836","Y_123",1,0.452265493332827,-6.37684396558884,0.472898713100053,-6.56514875017274
"Y_777","Y_272",1,-5.80178575278279,1.18347795749668,-5.63746466137268,1.4022335520727
"Y_773","Y_170",1,6.60558439177543,13.1676043747051,6.71226481117605,13.3226118299581
"Y_773","Y_271",1,6.86910812896523,13.4348585851793,6.71226481117605,13.3226118299581
"Y_319","Y_271",1,6.86910812896523,13.4348585851793,6.97477283108718,13.2903949176182
