"sample_id","malignant_state_cluster","malignant_state_label","gene","cell_number","percent_expressed","mean_log_normalized_expression"
"scB2","7","Basal_epithelial","COL1A1",167,40.72,0.128305069460955
"scB2","7","Basal_epithelial","EMP1",167,92.81,0.993077613810775
"scB2","7","Basal_epithelial","MYH11",167,1.2,0.00351921001975669
"scB2","7","Basal_epithelial","SASH1",167,41.32,0.146186188312138
"scB5","0","Basal_epithelial","COL1A1",3,0,0
"scB5","0","Basal_epithelial","EMP1",3,0,0
"scB5","0","Basal_epithelial","MYH11",3,0,0
"scB5","0","Basal_epithelial","SASH1",3,0,0
"scB5","10","Basal_epithelial","COL1A1",1,0,0
"scB5","10","Basal_epithelial","EMP1",1,0,0
"scB5","10","Basal_epithelial","MYH11",1,0,0
"scB5","10","Basal_epithelial","SASH1",1,0,0
"scB5","3","Basal_epithelial","COL1A1",9,0,0
"scB5","3","Basal_epithelial","EMP1",9,11.11,0.251374721548502
"scB5","3","Basal_epithelial","MYH11",9,0,0
"scB5","3","Basal_epithelial","SASH1",9,0,0
"scB5","4","Basal_epithelial","COL1A1",200,3,0.0338654383839753
"scB5","4","Basal_epithelial","EMP1",200,10,0.111359309696424
"scB5","4","Basal_epithelial","MYH11",200,2,0.0356378183726083
"scB5","4","Basal_epithelial","SASH1",200,5.5,0.037613571863388
"scB5","7","Basal_epithelial","COL1A1",2,0,0
"scB5","7","Basal_epithelial","EMP1",2,100,3.89121377401351
"scB5","7","Basal_epithelial","MYH11",2,0,0
"scB5","7","Basal_epithelial","SASH1",2,100,0.822745074715253
"scB7","0","Basal_epithelial","COL1A1",1,0,0
"scB7","0","Basal_epithelial","EMP1",1,100,0.162695592337206
"scB7","0","Basal_epithelial","MYH11",1,0,0
"scB7","0","Basal_epithelial","SASH1",1,0,0
"scB7","2","Basal_epithelial","COL1A1",1,0,0
"scB7","2","Basal_epithelial","EMP1",1,0,0
"scB7","2","Basal_epithelial","MYH11",1,0,0
"scB7","2","Basal_epithelial","SASH1",1,0,0
"scB7","4","Basal_epithelial","COL1A1",7,57.14,0.384571667348147
"scB7","4","Basal_epithelial","EMP1",7,28.57,0.302074355743421
"scB7","4","Basal_epithelial","MYH11",7,14.29,0.0549958617428073
"scB7","4","Basal_epithelial","SASH1",7,57.14,0.2635713721468
"scB7","5","Basal_epithelial","COL1A1",283,30.39,0.109215342523886
"scB7","5","Basal_epithelial","EMP1",283,65.37,0.416989996885197
"scB7","5","Basal_epithelial","MYH11",283,2.47,0.00957690534883657
"scB7","5","Basal_epithelial","SASH1",283,50.53,0.19555246446883
"scB8","0","Basal_epithelial","COL1A1",1028,6.03,0.0978181992179838
"scB8","0","Basal_epithelial","EMP1",1028,1.65,0.0213994177139651
"scB8","0","Basal_epithelial","MYH11",1028,0.1,0.00195101429775794
"scB8","0","Basal_epithelial","SASH1",1028,2.24,0.0313017811475597
"scB8","10","Basal_epithelial","COL1A1",46,8.7,0.129187081603452
"scB8","10","Basal_epithelial","EMP1",46,4.35,0.0432336949542117
"scB8","10","Basal_epithelial","MYH11",46,13.04,0.136726317218931
"scB8","10","Basal_epithelial","SASH1",46,0,0
"scB8","2","Basal_epithelial","COL1A1",2,0,0
"scB8","2","Basal_epithelial","EMP1",2,100,1.57664857584889
"scB8","2","Basal_epithelial","MYH11",2,0,0
"scB8","2","Basal_epithelial","SASH1",2,0,0
"scB8","3","Basal_epithelial","COL1A1",4,25,0.434213915446803
"scB8","3","Basal_epithelial","EMP1",4,0,0
"scB8","3","Basal_epithelial","MYH11",4,0,0
"scB8","3","Basal_epithelial","SASH1",4,0,0
"scB8","4","Basal_epithelial","COL1A1",109,4.59,0.0603921337912125
"scB8","4","Basal_epithelial","EMP1",109,48.62,0.475389892522926
"scB8","4","Basal_epithelial","MYH11",109,0.92,0.00184149756433783
"scB8","4","Basal_epithelial","SASH1",109,35.78,0.187915121291439
"scB8","5","Basal_epithelial","COL1A1",2,0,0
"scB8","5","Basal_epithelial","EMP1",2,50,0.540400722960931
